,imgurl,Player,Pos,GP,P,G1,G2,A,Sh,ShP,SOG,TO,CT,GB,FO,FOP,Sv,SvP,Jersey,Rank,Team
25,/static/media/archers_ic.d2d97f6c.png,Ryan Ambler,M,6,9,4,0,5,19,21%,12,2,2,0,0-0,-,-,-,13,25,ARCHERS
26,/static/media/chrome_ic.0f37d38c.png,Jordan MacIntosh,M,5,9,8,0,1,22,36%,13,5,2,7,0-0,-,-,-,29,26,CHROME
27,/static/media/redwoods_ic.7b9794c3.png,Joe Walters,M,6,9,2,1,5,13,23%,8,7,0,1,0-0,-,-,-,1,27,REDWOODS
28,/static/media/atlas_ic.3a51a780.png,Bryan Costabile,M,5,9,6,1,1,25,28%,17,9,2,8,0-0,-,-,-,26,28,ATLAS
29,/static/media/redwoods_ic.7b9794c3.png,Clarke Petterson,A,6,9,5,0,4,22,23%,13,2,1,9,0-0,-,-,-,45,29,REDWOODS
30,/static/media/archers_ic.d2d97f6c.png,Christian Mazzone,M,6,9,9,0,0,13,69%,12,4,1,9,0-0,-,-,-,6,30,ARCHERS
31,/static/media/chrome_ic.0f37d38c.png,Matt Gaudet,A,5,8,8,0,0,16,50%,9,2,2,2,0-0,-,-,-,44,31,CHROME
32,/static/media/chaos_ic.a2debffb.png,Sergio Salcido,M,7,8,7,0,1,26,27%,18,5,0,4,0-0,-,-,-,48,32,CHAOS
33,/static/media/waterdogs_ic.aaa1d12f.png,Zach Currier,M,4,7,4,0,3,8,50%,5,6,2,20,0-0,-,-,-,77,33,WATERDOGS
34,/static/media/whipsnakes_ic.960b263c.png,Michael Ehrhardt,LSM,6,7,0,2,3,9,22%,4,2,7,26,0-0,-,-,-,28,34,WHIPSNAKES
35,/static/media/atlas_ic.3a51a780.png,Eric Law,A,5,7,5,0,2,12,42%,9,7,3,9,0-0,-,-,-,15,35,ATLAS
36,/static/media/chaos_ic.a2debffb.png,Connor Fields,A,6,7,6,0,1,19,32%,10,10,0,5,0-0,-,-,-,5,36,CHAOS
37,/static/media/atlas_ic.3a51a780.png,Connor Buczek,M,5,7,2,1,3,27,11%,15,8,1,3,0-0,-,-,-,33,37,ATLAS
38,/static/media/atlas_ic.3a51a780.png,Chris Cloutier,A,5,7,7,0,0,17,41%,8,8,0,2,0-0,-,-,-,45,38,ATLAS
39,/static/media/archers_ic.d2d97f6c.png,Marcus Holman,A,6,7,6,0,1,26,23%,17,3,3,14,0-0,-,-,-,1,39,ARCHERS
40,/static/media/archers_ic.d2d97f6c.png,Josh Currier,M,6,6,6,0,0,14,43%,11,2,1,2,0-0,-,-,-,27,40,ARCHERS
41,/static/media/whipsnakes_ic.960b263c.png,Joseph Nardella,FO,6,6,3,0,3,8,38%,5,5,1,65,100-138,72%,-,-,91,41,WHIPSNAKES
42,/static/media/chrome_ic.0f37d38c.png,John Ranagan,M,5,6,4,0,2,18,22%,9,5,0,2,0-0,-,-,-,31,42,CHROME
43,/static/media/archers_ic.d2d97f6c.png,Joey Sankey,M,6,6,3,0,3,9,33%,5,3,0,1,0-0,-,-,-,11,43,ARCHERS
44,/static/media/redwoods_ic.7b9794c3.png,Brent Adams,M,6,6,5,0,1,30,17%,17,7,2,12,0-0,-,-,-,8,44,REDWOODS
45,/static/media/waterdogs_ic.aaa1d12f.png,Ben McIntosh,M,5,6,6,0,0,21,29%,16,2,1,3,0-0,-,-,-,90,45,WATERDOGS
46,/static/media/chaos_ic.a2debffb.png,Austin Staats,A,7,6,5,0,1,12,42%,10,7,0,2,0-0,-,-,-,83,46,CHAOS
